object_id,kepoi_name,kepler_name,kepid,source,koi_disposition,koi_period,koi_duration,koi_depth,koi_steff,koi_kepmag,koi_prad,koi_slogg,koi_srad,koi_teq,koi_model_snr,koi_impact,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,log_period,log_depth,label
K00752.01,K00752.01,Kepler-227 b,10797460,KOI,CONFIRMED,9.48803557,2.9575,615.8,5455.0,15.347,2.26,4.467,0.927,793.0,35.8,0.146,0,0,0,0,0.9771763041637123,2.789439684567179,1
K00752.02,K00752.02,Kepler-227 c,10797460,KOI,CONFIRMED,54.4183827,4.507,874.8,5455.0,15.347,2.83,4.467,0.927,443.0,25.8,0.586,0,0,0,0,1.7357456305179246,2.9419087743655994,1
K00753.01,K00753.01,,10811496,KOI,CANDIDATE,19.89913995,1.7822,10829.0,5853.0,15.436,14.6,4.544,0.868,638.0,76.3,0.969,0,0,0,0,1.2988343064076568,4.034588353713624,1
K00754.01,K00754.01,,10848459,KOI,FALSE POSITIVE,1.736952453,2.40641,8079.2,5805.0,15.597,33.46,4.564,0.791,1395.0,505.6,1.276,0,1,0,0,0.23978793031678497,3.907368359192106,0
K00755.01,K00755.01,Kepler-664 b,10854555,KOI,CONFIRMED,2.525591777,1.6545,603.3,6031.0,15.509,2.75,4.438,1.046,1406.0,40.9,0.701,0,0,0,0,0.40236315487982993,2.780533325316404,1
K00756.01,K00756.01,Kepler-228 d,10872983,KOI,CONFIRMED,11.09432054,4.5945,1517.5,6046.0,15.714,3.9,4.486,0.972,835.0,66.5,0.538,0,0,0,0,1.0451007094734261,3.181128699747295,1
K00756.02,K00756.02,Kepler-228 c,10872983,KOI,CONFIRMED,4.13443512,3.1402,686.0,6046.0,15.714,2.77,4.486,0.972,1160.0,40.2,0.762,0,0,0,0,0.6164161811134099,2.8363241157067516,1
K00756.03,K00756.03,Kepler-228 b,10872983,KOI,CONFIRMED,2.56658897,2.429,226.5,6046.0,15.714,1.59,4.486,0.972,1360.0,15.0,0.755,0,0,0,0,0.4093563235394426,2.3550682063488506,1
K00114.01,K00114.01,,6721123,KOI,FALSE POSITIVE,7.36178958,5.022,233.7,6227.0,12.66,39.21,3.986,1.958,1342.0,47.7,1.169,0,1,1,0,0.8669833999687198,2.368658712392227,0
K00757.01,K00757.01,Kepler-229 c,10910878,KOI,CONFIRMED,16.06864674,3.5347,4914.3,5031.0,15.841,5.76,4.485,0.848,600.0,161.9,0.052,0,0,0,0,1.20597930314183,3.691461665039397,1
K00001.01,K00001.01,Kepler-1 b,11446443,KOI,CONFIRMED,2.470613377,1.74319,14231.0,5820.0,11.338,13.04,4.457,0.964,1339.0,4304.3,0.818,0,0,0,0,0.39280478855357276,4.1532354186522955,1
K00002.01,K00002.01,Kepler-2 b,10666592,KOI,CONFIRMED,2.204735417,3.88864,6674.7,6440.0,10.463,16.1,4.019,1.952,2048.0,5945.9,0.224,0,1,0,0,0.34335647868756247,3.8244317507448544,1
